index;cell_id;min_lat;min_lon;max_lat;max_lon;line;column;matrix_id;cell;inside
281;281;28,78;96,0;29,96;98,04;9;11;main;POLYGON ((98.04 28.78, 98.04 29.96, 96 29.96, 96 28.78, 98.04 28.78));True
282;282;28,78;98,04;29,96;100,08;9;12;main;POLYGON ((100.08 28.78, 100.08 29.96, 98.04 29.96, 98.04 28.78, 100.08 28.78));True
283;283;28,78;100,08;29,96;102,12;9;13;main;POLYGON ((102.12 28.78, 102.12 29.96, 100.08 29.96, 100.08 28.78, 102.12 28.78));True
284;284;28,78;102,12;29,96;104,16;9;14;main;POLYGON ((104.16 28.78, 104.16 29.96, 102.12 29.96, 102.12 28.78, 104.16 28.78));True
285;285;28,78;104,16;29,96;106,2;9;15;main;POLYGON ((106.2 28.78, 106.2 29.96, 104.16 29.96, 104.16 28.78, 106.2 28.78));True
286;286;28,78;106,2;29,96;108,24;9;16;main;POLYGON ((108.24 28.78, 108.24 29.96, 106.2 29.96, 106.2 28.78, 108.24 28.78));True
287;287;28,78;108,24;29,96;110,28;9;17;main;POLYGON ((110.28 28.78, 110.28 29.96, 108.24 29.96, 108.24 28.78, 110.28 28.78));True
288;288;28,78;110,28;29,96;112,32;9;18;main;POLYGON ((112.32 28.78, 112.32 29.96, 110.28 29.96, 110.28 28.78, 112.32 28.78));True
289;289;28,78;112,32;29,96;114,36;9;19;main;POLYGON ((114.36 28.78, 114.36 29.96, 112.32 29.96, 112.32 28.78, 114.36 28.78));True
290;290;28,78;114,36;29,96;116,4;9;20;main;POLYGON ((116.4 28.78, 116.4 29.96, 114.36 29.96, 114.36 28.78, 116.4 28.78));True
291;291;28,78;116,4;29,96;118,44;9;21;main;POLYGON ((118.44 28.78, 118.44 29.96, 116.4 29.96, 116.4 28.78, 118.44 28.78));True
292;292;28,78;118,44;29,96;120,48;9;22;main;POLYGON ((120.48 28.78, 120.48 29.96, 118.44 29.96, 118.44 28.78, 120.48 28.78));True
293;293;28,78;120,48;29,96;122,52;9;23;main;POLYGON ((122.52 28.78, 122.52 29.96, 120.48 29.96, 120.48 28.78, 122.52 28.78));True
294;294;28,78;122,52;29,96;124,56;9;24;main;POLYGON ((124.56 28.78, 124.56 29.96, 122.52 29.96, 122.52 28.78, 124.56 28.78));True
302;302;29,96;77,64;31,14;79,68;10;2;main;POLYGON ((79.68 29.96, 79.68 31.14, 77.64 31.14, 77.64 29.96, 79.68 29.96));True
303;303;29,96;79,68;31,14;81,72;10;3;main;POLYGON ((81.72 29.96, 81.72 31.14, 79.68 31.14, 79.68 29.96, 81.72 29.96));True
304;304;29,96;81,72;31,14;83,76;10;4;main;POLYGON ((83.76 29.96, 83.76 31.14, 81.72 31.14, 81.72 29.96, 83.76 29.96));True
305;305;29,96;83,76;31,14;85,8;10;5;main;POLYGON ((85.8 29.96, 85.8 31.14, 83.76 31.14, 83.76 29.96, 85.8 29.96));True
306;306;29,96;85,8;31,14;87,84;10;6;main;POLYGON ((87.84 29.96, 87.84 31.14, 85.8 31.14, 85.8 29.96, 87.84 29.96));True
307;307;29,96;87,84;31,14;89,88;10;7;main;POLYGON ((89.88 29.96, 89.88 31.14, 87.84 31.14, 87.84 29.96, 89.88 29.96));True
308;308;29,96;89,88;31,14;91,92;10;8;main;POLYGON ((91.92 29.96, 91.92 31.14, 89.88 31.14, 89.88 29.96, 91.92 29.96));True
309;309;29,96;91,92;31,14;93,96;10;9;main;POLYGON ((93.96 29.96, 93.96 31.14, 91.92 31.14, 91.92 29.96, 93.96 29.96));True
310;310;29,96;93,96;31,14;96,0;10;10;main;POLYGON ((96 29.96, 96 31.14, 93.96 31.14, 93.96 29.96, 96 29.96));True
311;311;29,96;96,0;31,14;98,04;10;11;main;POLYGON ((98.04 29.96, 98.04 31.14, 96 31.14, 96 29.96, 98.04 29.96));True
312;312;29,96;98,04;31,14;100,08;10;12;main;POLYGON ((100.08 29.96, 100.08 31.14, 98.04 31.14, 98.04 29.96, 100.08 29.96));True
313;313;29,96;100,08;31,14;102,12;10;13;main;POLYGON ((102.12 29.96, 102.12 31.14, 100.08 31.14, 100.08 29.96, 102.12 29.96));True
314;314;29,96;102,12;31,14;104,16;10;14;main;POLYGON ((104.16 29.96, 104.16 31.14, 102.12 31.14, 102.12 29.96, 104.16 29.96));True
315;315;29,96;104,16;31,14;106,2;10;15;main;POLYGON ((106.2 29.96, 106.2 31.14, 104.16 31.14, 104.16 29.96, 106.2 29.96));True
316;316;29,96;106,2;31,14;108,24;10;16;main;POLYGON ((108.24 29.96, 108.24 31.14, 106.2 31.14, 106.2 29.96, 108.24 29.96));True
317;317;29,96;108,24;31,14;110,28;10;17;main;POLYGON ((110.28 29.96, 110.28 31.14, 108.24 31.14, 108.24 29.96, 110.28 29.96));True
318;318;29,96;110,28;31,14;112,32;10;18;main;POLYGON ((112.32 29.96, 112.32 31.14, 110.28 31.14, 110.28 29.96, 112.32 29.96));True
319;319;29,96;112,32;31,14;114,36;10;19;main;POLYGON ((114.36 29.96, 114.36 31.14, 112.32 31.14, 112.32 29.96, 114.36 29.96));True
320;320;29,96;114,36;31,14;116,4;10;20;main;POLYGON ((116.4 29.96, 116.4 31.14, 114.36 31.14, 114.36 29.96, 116.4 29.96));True
321;321;29,96;116,4;31,14;118,44;10;21;main;POLYGON ((118.44 29.96, 118.44 31.14, 116.4 31.14, 116.4 29.96, 118.44 29.96));True
322;322;29,96;118,44;31,14;120,48;10;22;main;POLYGON ((120.48 29.96, 120.48 31.14, 118.44 31.14, 118.44 29.96, 120.48 29.96));True
323;323;29,96;120,48;31,14;122,52;10;23;main;POLYGON ((122.52 29.96, 122.52 31.14, 120.48 31.14, 120.48 29.96, 122.52 29.96));True
324;324;29,96;122,52;31,14;124,56;10;24;main;POLYGON ((124.56 29.96, 124.56 31.14, 122.52 31.14, 122.52 29.96, 124.56 29.96));True
332;332;31,14;77,64;32,32;79,68;11;2;main;POLYGON ((79.68 31.14, 79.68 32.32, 77.64 32.32, 77.64 31.14, 79.68 31.14));True
333;333;31,14;79,68;32,32;81,72;11;3;main;POLYGON ((81.72 31.14, 81.72 32.32, 79.68 32.32, 79.68 31.14, 81.72 31.14));True
334;334;31,14;81,72;32,32;83,76;11;4;main;POLYGON ((83.76 31.14, 83.76 32.32, 81.72 32.32, 81.72 31.14, 83.76 31.14));True
335;335;31,14;83,76;32,32;85,8;11;5;main;POLYGON ((85.8 31.14, 85.8 32.32, 83.76 32.32, 83.76 31.14, 85.8 31.14));True
